"","otu","order","family","genus","species","pident","volcano","site","sitePlot","plant","smplUnit","time.SmplUnit","abundance","Lat1","Long1","horizontalDatum","flowAgeMin","flowAgeMax","predict","spp","n_delim"
"1","OTU1147","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","flow1973","flow1973_084","Dubautia","flow1973_084_Dubautia",12,10,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_43",8
"2","OTU1147","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,53,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_43",8
"3","OTU1181","Araneae","Linyphiidae","Erigone","psychrophila",91.768,"Kilauea","flow1973","flow1973_084","Metrosideros","flow1973_084_Metrosideros",95,16,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_123",12
"4","OTU1187","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,17,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_43",8
"5","OTU121","Araneae","Tetragnathidae","Tetragnatha","pilosa",99.282,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,14,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_29",4
"6","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,52,19.372432,-155.214834,"NAD83",42,42,"introduced","Araneae_17",3
"7","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_084","Metrosideros","flow1973_084_Metrosideros",95,20,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"8","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,34,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"9","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,54,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"10","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,150,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"11","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,67,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"12","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","flow1973","flow1973_109","Swordfern","flow1973_109_Swordfern",17,32,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"13","OTU134","Araneae","Tetragnathidae","Tetragnatha","hawaiensis",98.804,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,9,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_9",8
"14","OTU1375","Araneae","Tetragnathidae","Tetragnatha","acuta",100,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,73,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_10",11
"15","OTU1473","Araneae","Salticidae","Havaika","cruciata",100,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,6,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_60",2
"16","OTU1524","Araneae","Thomisidae","Mecaphesa","anguliventris",97.778,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,8,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_142",7
